Municipal Section,IDP Count
10ème Thor,2552
11ème Rivière Froide,1208
16ème Taïfer,370
1ère Morne à Bateau,270
1ère Petit Bois,1250
1ère Varreux,12989
2ème Crochus,776
2ème Petit Bois,660
2ème Varreux (Canaan - Jerusalem),17784
2ème Varreux (Marin),1153
2ème des Forges,296
3ème Bellevue,1326
3ème Etang du Jong,285
3ème Petit Bois,3177
4ème Bellevue la Montagne,3399
5ème Gascogne,3500
5ème Saint Martin,11713
6ème Aux Cadets,415
6ème Turgeau,36518
7ème Morne l'Hopital,14335
8ème Martissant,12906
9ème Bizoton,955
