Municipal Section,Count,Percentage
2e Section des Varreux,103,35.88850174216028
3e Section Martissant,36,12.543554006968641
5e Section Bellevue Chardonnière,33,11.498257839721255
1re Section Turgeau,24,8.362369337979095
2e Section Morne l'Hopital,14,4.878048780487805
1re Section St Martin,13,4.529616724738676
10e Section Thor,13,4.529616724738676
1re Section des Varreux,8,2.7874564459930316
3e Section Bellevue,8,2.7874564459930316
11e Section Rivière Froide,8,2.7874564459930316
3e Section Petit Bois,7,2.4390243902439024
9e Section Bizoton,4,1.3937282229965158
3e Section Etang du Jonc,4,1.3937282229965158
4e Section Petit Bois,2,0.6968641114982579
9e Section des Crochus,2,0.6968641114982579
5e Section Petit Bois,2,0.6968641114982579
1re Section Gascogne,1,0.34843205574912894
2e Section Aux Cadets,1,0.34843205574912894
3e Section Taïfer,1,0.34843205574912894
2e Section des Forges,1,0.34843205574912894
1re Section Morne à Bateau,1,0.34843205574912894
